date,close
3/2/2020,127.38
3/3/2020,131.19
3/4/2020,131.21
3/5/2020,130.24
3/6/2020,133.68
3/7/2020,133.06
3/8/2020,132.32
3/9/2020,134.35
3/10/2020,132.63
3/11/2020,133.8
3/12/2020,132.06
3/13/2020,129.04
3/14/2020,128.22
3/15/2020,129.79
3/16/2020,128.82
3/17/2020,127.28
3/18/2020,129.88
3/19/2020,131.67
3/20/2020,132.07
3/21/2020,132.02
3/22/2020,129.91
3/23/2020,129.91
3/24/2020,130.87
3/25/2020,133.15
3/26/2020,131.23
3/27/2020,129.67
3/28/2020,129.96
3/29/2020,130.27
3/30/2020,129.53
3/31/2020,126.36
4/1/2020,131.42
4/2/2020,131.83
4/3/2020,130.39
4/4/2020,137.68
4/5/2020,140.02
4/6/2020,138.19
4/7/2020,142.43
4/8/2020,143.68
4/9/2020,145.33
4/10/2020,144.4
4/11/2020,142.07
4/12/2020,141.83
4/13/2020,148.14
4/14/2020,147.36
4/15/2020,146.92
4/16/2020,146.98
4/17/2020,146.86
4/18/2020,145.76
4/19/2020,144.79
4/20/2020,143.97
4/21/2020,144.14
4/22/2020,141.89
4/23/2020,141.71
4/24/2020,140.55
4/25/2020,140.56
4/26/2020,139.23
4/27/2020,139.72
4/28/2020,140.56
4/29/2020,140.57
4/30/2020,140.09
5/1/2020,140.12
5/2/2020,141.06
5/3/2020,141.16
5/4/2020,141.78
5/5/2020,141.8
5/6/2020,142.46
5/7/2020,141.65
5/8/2020,142.89
5/9/2020,142.6
5/10/2020,141.14
5/11/2020,140.59
5/12/2020,140.01
5/13/2020,141.06
5/14/2020,139.67
5/15/2020,139.01
5/16/2020,139.98
5/17/2020,139.33
5/18/2020,139.81
5/19/2020,140.02
5/20/2020,138.1
5/21/2020,138.01
5/22/2020,137.29
5/23/2020,138.34
5/24/2020,137.93
5/25/2020,138
5/26/2020,138.87
5/27/2020,139.1
5/28/2020,139.49
5/29/2020,139.76
5/30/2020,139.56
5/31/2020,140.35
6/1/2020,141.32
6/2/2020,139.77
6/3/2020,139.76
6/4/2020,140.08
6/5/2020,139.93
6/6/2020,139.98
6/7/2020,139.41
6/8/2020,140
6/9/2020,141.78
6/10/2020,141.81
6/11/2020,142.36
